
央视,#genre#
TV001,https://0472.org/hls/cctv13.m3u8#https://ldncctvwbcdcnc.v.wscdns.com/ldncctvwbcd/cdrmldcctv13_1_720P/playlist.m3u8?wsApp=HLS#https://ldncctvwbndcnc.v.wscdns.com/ldncctvwbnd/ldcctv13_2/index.m3u8
超时设30秒,https://www.ldxmcloud.com/20230325/3dR5qkeD/index.m3u8
CCTV4(IPV6),http://[2409:8087:1:20:20::29]/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226470/1.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7E0wP1dRMt9qCzHdvA65wh1w%7E_eNUbgU9sJGUcVVduOMKhafLvQUgE_zlz_7pvDimJNMcuN2HH7RLPyPHWOUWhSMk%2CEND
CCTV4(IPV6),http://[2409:8087:1:20:20::26]/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226335/1.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7EBFJ5gRpm8ntK8JEFPZOhLQ%7EtP4-l0lmSfjwLWEfK_el1vH_mv-s1zo4AQJwdedaVwG9xkuFTDg8J26cwOrNJzn20BErrHdLhuZ9EzLUCD3PMW-OMx4MGteHV2vLeW6BqoY%2CEND
CCTV4(IPV6),http://[2409:8087:74d9:21::4]/270000001128/index.m3u8?cmcc_cid=9900000503$甘肃移动IPV6
CCTV5(IPV6),http://[2409:8087:1:20:20::2c]/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226454/1.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7ErKwB8Qqtvssoy-K7GEgesQ%7E_eNUbgU9sJGUcVVduOMKhafLvQUgE_zlz_7pvDimJNOIR_8g_qYRqpV5wTQqRILi%2CEND
CCTV5+(IPV6),http://[2409:8087:1:20:20::2c]/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226458/1.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7Em70vyfVI_MkrcLYjHWnqOA%7E_eNUbgU9sJGUcVVduOMKhafLvQUgE_zlz_7pvDimJNNlS0O1LA8iGydXPYujpRue%2CEND
CCTV5+(IPV6),http://[2409:8087:1:20:20::2c]/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226894/1.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7EevWZ0zmguDsOY_Mf3SM5TA%7EtP4-l0lmSfjwLWEfK_el1vH_mv-s1zo4AQJwdedaVwG9xkuFTDg8J26cwOrNJzn20BErrHdLhuZ9EzLUCD3PMW-OMx4MGteHV2vLeW6BqoY%2CEND
CCTV6(IPV6),http://[2409:8087:1:20:20::29]/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226453/1.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7Ex56LEwufYqPdJkUNYhbNCw%7E_eNUbgU9sJGUcVVduOMKhafLvQUgE_zlz_7pvDimJNOH2PzEhAK60LI_FWtVxfVS%2CEND
CCTV1,http://cssbyd.imwork.net:8082/hls/1/index.m3u8
CCTV4,http://cssbyd.imwork.net:8082/hls/4/index.m3u8
CCTV4,https://www.freetv.top/migu/631780421.m3u8?migutoken=9c479e166888f001e1fb4ab5502e734251c68075cd89836a715137a1a2a4b18b60e282b0f1a308d6641c282600bd8db3cef99cb15edd0ab61d81c4d76d154bb464e3a02a75b167298c4747ce6f
CCTV4,http://z.b.bkpcp.top/m.php?id=cctv4
CCTV4,http://ttkx.cc:1380/公开源/mg9.php?id=cctv4
CCTV5,http://cssbyd.imwork.net:8082/hls/5/index.m3u8
CCTV5,http://ttkx.cc:1380/公开源/mg9.php?id=cctv5
CCTV5,http://z.b.bkpcp.top/m.php?id=cctv5
CCTV5+,http://cssbyd.imwork.net:8082/hls/6/index.m3u8
CCTV5+,http://ttkx.cc:1380/公开源/mg9.php?id=cctv5p
CCTV5+,http://z.b.bkpcp.top/m.php?id=cctv5p
CCTV13,http://cssbyd.imwork.net:8082/hls/14/index.m3u8
CCTV13,http://z.b.bkpcp.top/m.php?id=cctv13
CGTN,https://news.cgtn.com/resource/live/english/cgtn-news.m3u8
CGTN英语,https://english-livetx.cgtn.com/hls/yypdjlctzb_hd.m3u8
CEC文化,http://play.cec-tv.com.cn/channel/cec-tv1.m3u8$官方源
CEC旅游,http://play.cec-tv.com.cn/channel/cec-tv2.m3u8$官方源
CEC教育,http://play.cec-tv.com.cn/channel/cec-tv3.m3u8$官方源
CEC健康,http://play.cec-tv.com.cn/channel/cec-tv4.m3u8$官方源

地方台,#genre#
广东卫视,http://cssbyd.imwork.net:8082/hls/24/index.m3u8
广东卫视,https://www.freetv.top/migu/608831231.m3u8?migutoken=71ab4343c0e7a55b1287f3c4ec3383c9de673d987b5c849b2728e9af4223510bc8d8fcb87af13066db4920eb8e871c74aa5e93e04d43de870dc64eadb99a05456adfdb14b43000fd4520cba033
广西卫视,http://cssbyd.imwork.net:8082/hls/33/index.m3u8
广西卫视,http://live.gxrb.com.cn/tv/gxtvlive03/index.m3u8
深圳卫视,http://cssbyd.imwork.net:8082/hls/28/index.m3u8
湖南卫视,http://cssbyd.imwork.net:8082/hls/17/index.m3u8
广东珠江,http://php.jdshipin.com/TVOD/iptv.php?id=gdzj
广州影视,http://php.jdshipin.com:8880/gztv.php?id=yingshi
广州影视,https://tencentplay.gztv.com/live/yingshi.m3u8?txSecret=ec79a0d817981989c161f548c48c2954&txTime=1903e79e680
深圳电视剧,http://jxtv3.gdsz.eu.org:8081/hls/18/index.m3u8
深圳电视剧,http://jxtv3.gdsz.eu.org:8081/hls/141/index.m3u8
佛山影视,http://php.jdshipin.com:8880/fstv.php?id=fsys
南国都市,http://php.jdshipin.com:8880/gztv.php?id=shenghuo
嘉佳卡通,http://[2409:8087:1:20:20::2c]/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226539/1.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7EQDRyt1jaDU7f52NwPN526A%7E_eNUbgU9sJGUcVVduOMKhafLvQUgE_zlz_7pvDimJNOLcRNi6C1PMX5tGrYl_SiR%2CEND
重温经典,http://ali.hlspull.yximgs.com/live/awei_cwjd.flv
iPanda,https://gcwbndali.v.myalicdn.com/gcwbnd/ipanda1000_2/index.m3u8
动漫秀场,http://tvbox6.icu/tv/gdmzyd.php?id=83

港台频道,#genre#
香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8
